year,stateobs,state,births,lnbirths,population,lnpopulation,workforce,infrastructure,economy,qualityoflife,costofdoingbusiness,technology,businessfriendliness,education,accesstocapital,costofliving,overallrank,workforce_l1,infrastructure_l1,economy_l1,qualityoflife_l1,costofdoingbusiness_l1,technology_l1,businessfriendliness_l1,education_l1,accesstocapital_l1,costofliving_l1,overallrank_l1,population_l1,lag_lnpopulation
2007,1,Alabama,10761,9.283683776855469,4.67284,1.5417670011520386,31,7,13,43,16,39,33,48,36,8,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,1,Alabama,9478,9.156728744506836,4.718206,1.5514286756515503,22,43,23,45,19,39,39,47,31,11,42,31,7,13,43,16,39,33,48,36,8,37,4.672840118408203,1.5417670011520386
2009,1,Alabama,8421,9.038483619689941,4.757938,1.5598143339157104,14,26,33,47,18,30,34,37,31,9,39,22,43,23,45,19,39,39,47,31,11,42,4.71820592880249,1.5514286756515503
2010,1,Alabama,8935,9.097731590270996,4.785437,1.5655773878097534,14,27,40,48,14,30,32,42,40,11,43,14,26,33,47,18,30,34,37,31,9,39,4.757937908172607,1.5598143339157104
2011,1,Alabama,9292,9.136909484863281,4.799069,1.5684219598770142,16,24,39,49,16,33,29,44,35,11,41,14,27,40,48,14,30,32,42,40,11,43,4.785437107086182,1.5655773878097534
2012,1,Alabama,9403,9.148783683776855,4.815588,1.5718581676483154,26,29,6,47,20,35,30,43,41,13,38,16,24,39,49,16,33,29,44,35,11,41,4.799068927764893,1.5684219598770142
2013,1,Alabama,9396,9.148039817810059,4.830081,1.5748631954193115,25,NA,40,45,6,34,37,36,39,13,33,26,29,6,47,20,35,30,43,41,13,38,4.815587997436523,1.5718581676483154
2014,1,Alabama,9158,9.122383117675781,4.841799,1.5772863626480103,20,NA,40,46,4,31,38,47,45,7,34,25,NA,40,45,6,34,37,36,39,13,33,4.830080986022949,1.5748631954193115
2015,1,Alabama,9484,9.157361030578613,4.852347,1.5794625282287598,32,NA,44,42,19,30,28,46,20,10,41,20,NA,40,46,4,31,38,47,45,7,34,4.841798782348633,1.5772863626480103
2016,1,Alabama,9840,9.19421100616455,4.863525,1.581763505935669,38,21,48,43,17,36,30,46,16,4,38,32,NA,44,42,19,30,28,46,20,10,41,4.852346897125244,1.5794625282287598
2017,1,Alabama,10052,9.215526580810547,4.874486,1.584014654159546,36,18,26,50,7,31,33,47,29,12,37,38,21,48,43,17,36,30,46,16,4,38,4.863524913787842,1.581763505935669
2018,1,Alabama,10129,9.22315788269043,4.887681,1.586717963218689,36,18,37,48,26,34,36,47,30,8,41,36,18,26,50,7,31,33,47,29,12,37,4.874485969543457,1.584014654159546
2019,1,Alabama,11620,9.360483169555664,4.903185,1.5898849964141846,35,10,27,49,22,34,37,37,30,6,37,36,18,37,48,26,34,36,47,30,8,41,4.887681007385254,1.586717963218689
2021,1,Alabama,15073,9.620660781860352,5.05038,1.6194634437561035,35,NA,29,44,22,33,19,34,25,6,31,35,10,27,49,22,34,37,37,30,6,37,NA,NA
2022,1,Alabama,19289,9.867290496826172,5.073903,1.6241103410720825,13,38,27,38,24,21,25,34,34,3,33,35,NA,29,44,22,33,19,34,25,6,31,5.050380229949951,1.6194634437561035
